year,month,gid_0,country,gid_1,region,CO2,CO,TPM,PM25,TPC,NMHC,OC,CH4,SO2,BC,NOx
2012,7,ESP,Spain,ESP.12_1,Galicia,9374.398,535.151,91.193,61.241,44.284,51.406,40.906,24.245,4.957,3.378,13.427
2012,8,ESP,Spain,ESP.12_1,Galicia,15058.161,683.401,118.338,90.941,59.509,53.541,55.528,24.011,7.167,3.937,26.209
2012,9,ESP,Spain,ESP.12_1,Galicia,59264.196,2550.29,350.291,264.187,125.33,174.536,109.183,96.974,18.175,15.88,128.745
2012,10,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,11,ESP,Spain,ESP.12_1,Galicia,870.107,46.49,9.298,6.815,5.336,4.438,5.072,1.775,0.581,0.264,1.014
2012,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,1,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,2,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,3,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,4,ESP,Spain,ESP.12_1,Galicia,10168.93,559.54,100.776,70.452,52.219,53.047,48.817,23.725,5.808,3.4,13.893
2013,5,ESP,Spain,ESP.12_1,Galicia,7903.553,428.777,82.758,59.598,45.968,40.99,43.468,17.093,5.032,2.5,9.687
2013,6,ESP,Spain,ESP.12_1,Galicia,13719.674,775.138,135.579,92.496,67.919,74.388,63.1,34.277,7.562,4.819,19.063
2013,7,ESP,Spain,ESP.12_1,Galicia,14960.269,825.533,129.107,85.337,56.089,75.658,50.726,38.096,6.584,5.349,24.972
2013,8,ESP,Spain,ESP.12_1,Galicia,118690.12,5948.764,1097.774,811.436,586.616,525.309,551.931,225.364,66.62,34.52,174.075
2013,9,ESP,Spain,ESP.12_1,Galicia,170061.172,8573.267,1571.054,1155.494,833.307,759.481,783.032,328.626,94.689,50.046,250.413
2013,10,ESP,Spain,ESP.12_1,Galicia,2857.559,152.681,30.536,22.382,17.524,14.574,16.656,5.83,1.909,0.868,3.331
2013,11,ESP,Spain,ESP.12_1,Galicia,1377.388,73.594,14.719,10.788,8.447,7.025,8.028,2.81,0.92,0.418,1.606
2013,12,ESP,Spain,ESP.12_1,Galicia,1345.904,71.912,14.382,10.542,8.254,6.864,7.845,2.746,0.899,0.409,1.569
2014,1,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,3,ESP,Spain,ESP.12_1,Galicia,15589.427,839.41,164.897,119.807,93.112,80.187,88.279,32.769,10.166,4.833,18.644
2014,4,ESP,Spain,ESP.12_1,Galicia,6686.905,360.19,59.155,40.463,27.542,32.772,25.267,15.845,3.191,2.269,10.722
2014,5,ESP,Spain,ESP.12_1,Galicia,12713.947,702.98,122.322,84.251,61.0,66.285,56.645,30.598,6.851,4.35,18.273
2014,6,ESP,Spain,ESP.12_1,Galicia,8094.686,490.003,71.43,42.96,27.487,47.317,24.137,25.104,3.219,3.35,13.629
2014,7,ESP,Spain,ESP.12_1,Galicia,4798.407,271.829,47.228,32.092,23.474,26.093,21.778,12.097,2.617,1.697,6.72
2014,8,ESP,Spain,ESP.12_1,Galicia,5497.023,299.428,57.243,41.022,31.506,28.636,29.749,12.069,3.454,1.758,6.825
2014,9,ESP,Spain,ESP.12_1,Galicia,3569.291,219.804,30.516,17.613,10.679,21.256,9.144,11.628,1.277,1.535,6.282
2014,10,ESP,Spain,ESP.12_1,Galicia,1522.165,81.33,16.266,11.922,9.334,7.763,8.872,3.105,1.017,0.462,1.774
2014,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,ESP,Spain,ESP.12_1,Galicia,1937.853,103.54,20.708,15.178,11.884,9.883,11.295,3.953,1.294,0.588,2.259
2015,2,ESP,Spain,ESP.12_1,Galicia,475.049,17.751,2.395,2.02,0.845,0.958,0.738,0.547,0.135,0.104,1.099
2015,3,ESP,Spain,ESP.12_1,Galicia,4839.664,232.412,42.52,32.074,22.586,19.659,21.244,8.424,2.608,1.332,7.511
2015,4,ESP,Spain,ESP.12_1,Galicia,14545.867,796.987,150.251,106.893,81.574,76.263,76.851,32.632,8.962,4.723,18.4
2015,5,ESP,Spain,ESP.12_1,Galicia,13902.145,717.957,122.065,86.603,59.517,63.614,55.109,29.709,6.9,4.388,22.161
2015,6,ESP,Spain,ESP.12_1,Galicia,17350.34,932.5,178.877,129.147,98.84,88.34,93.4,36.994,10.866,5.438,21.824
2015,7,ESP,Spain,ESP.12_1,Galicia,45195.44,2431.675,462.525,332.895,253.524,230.001,239.263,97.176,27.928,14.251,57.685
2015,8,ESP,Spain,ESP.12_1,Galicia,32816.506,1497.953,250.167,189.97,120.518,116.809,111.612,54.453,14.739,8.805,59.032
2015,9,ESP,Spain,ESP.12_1,Galicia,27806.647,1435.043,277.212,204.497,154.514,131.789,146.282,54.247,17.148,8.212,36.536
2015,10,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,12,ESP,Spain,ESP.12_1,Galicia,8795.724,328.666,44.344,37.405,15.651,17.738,13.668,10.121,2.504,1.93,20.346
2016,1,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,3,ESP,Spain,ESP.12_1,Galicia,862.448,34.633,4.89,3.917,1.862,2.158,1.65,1.172,0.272,0.207,1.895
2016,4,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,5,ESP,Spain,ESP.12_1,Galicia,8724.23,486.919,87.782,60.945,45.495,46.675,42.524,20.902,5.036,2.971,11.685
2016,6,ESP,Spain,ESP.12_1,Galicia,5141.424,254.463,46.483,34.49,24.604,22.145,23.119,9.574,2.815,1.477,7.756
2016,7,ESP,Spain,ESP.12_1,Galicia,11775.96,600.713,114.906,85.015,63.507,54.461,60.054,22.589,7.092,3.441,15.98
2016,8,ESP,Spain,ESP.12_1,Galicia,221095.376,11426.845,2169.663,1591.672,1189.932,1045.339,1123.698,438.427,132.676,66.057,298.803
2016,9,ESP,Spain,ESP.12_1,Galicia,128766.306,6540.469,1237.599,914.884,677.203,588.839,639.434,246.817,75.974,37.633,178.857
2016,10,ESP,Spain,ESP.12_1,Galicia,9200.071,472.386,91.574,67.785,51.221,43.241,48.522,17.707,5.687,2.693,12.095
2016,11,ESP,Spain,ESP.12_1,Galicia,2810.171,150.149,30.03,22.01,17.233,14.332,16.38,5.733,1.877,0.853,3.276
2016,12,ESP,Spain,ESP.12_1,Galicia,1849.872,109.854,16.881,10.573,7.101,10.59,6.368,5.419,0.816,0.733,2.96
2017,1,ESP,Spain,ESP.12_1,Galicia,2225.322,96.219,15.074,11.681,6.712,6.891,6.134,3.397,0.871,0.569,4.388
2017,2,ESP,Spain,ESP.12_1,Galicia,1796.823,85.406,14.745,11.022,7.364,7.026,6.857,3.191,0.873,0.502,3.024
2017,3,ESP,Spain,ESP.12_1,Galicia,10698.747,506.951,82.754,61.045,38.619,40.893,35.533,19.6,4.71,3.058,19.173
2017,4,ESP,Spain,ESP.12_1,Galicia,70483.728,3757.335,662.914,467.885,336.563,345.441,313.692,156.686,38.066,22.816,103.311
2017,5,ESP,Spain,ESP.12_1,Galicia,1152.944,58.179,10.58,7.761,5.568,5.147,5.225,2.245,0.634,0.341,1.715
2017,6,ESP,Spain,ESP.12_1,Galicia,9407.971,467.096,82.208,60.267,41.821,40.326,39.036,18.116,4.847,2.767,14.879
2017,7,ESP,Spain,ESP.12_1,Galicia,8291.356,382.362,63.274,47.639,30.114,30.075,27.822,14.173,3.686,2.267,14.943
2017,8,ESP,Spain,ESP.12_1,Galicia,88876.102,4119.388,681.342,511.316,323.927,325.778,299.188,153.716,39.578,24.478,159.679
2017,9,ESP,Spain,ESP.12_1,Galicia,20977.549,832.913,115.368,92.951,42.46,50.637,37.361,28.023,6.373,4.988,46.815
2017,10,ESP,Spain,ESP.12_1,Galicia,498855.631,22561.08,3620.685,2738.799,1659.162,1719.989,1522.917,832.761,208.108,134.57,937.877
2017,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
